season,round,raceName,circuitName,locality,country,date,time,url
1970,3,Monaco Grand Prix,Circuit de Monaco,Monte-Carlo,Monaco,1970-05-10,,http://en.wikipedia.org/wiki/1970_Monaco_Grand_Prix
1970,4,Belgian Grand Prix,Circuit de Spa-Francorchamps,Spa,Belgium,1970-06-07,,http://en.wikipedia.org/wiki/1970_Belgian_Grand_Prix
1970,5,Dutch Grand Prix,Circuit Park Zandvoort,Zandvoort,Netherlands,1970-06-21,,http://en.wikipedia.org/wiki/1970_Dutch_Grand_Prix
1970,6,French Grand Prix,Charade Circuit,Clermont-Ferrand,France,1970-07-05,,http://en.wikipedia.org/wiki/1970_French_Grand_Prix
1970,7,British Grand Prix,Brands Hatch,Kent,UK,1970-07-18,,http://en.wikipedia.org/wiki/1970_British_Grand_Prix
1970,8,German Grand Prix,Hockenheimring,Hockenheim,Germany,1970-08-02,,http://en.wikipedia.org/wiki/1970_German_Grand_Prix
1970,9,Austrian Grand Prix,Red Bull Ring,Spielberg,Austria,1970-08-16,,http://en.wikipedia.org/wiki/1970_Austrian_Grand_Prix
1970,10,Italian Grand Prix,Autodromo Nazionale di Monza,Monza,Italy,1970-09-06,,http://en.wikipedia.org/wiki/1970_Italian_Grand_Prix
1970,11,Canadian Grand Prix,Circuit Mont-Tremblant,Quebec,Canada,1970-09-20,,http://en.wikipedia.org/wiki/1970_Canadian_Grand_Prix
1970,12,United States Grand Prix,Watkins Glen,New York State,USA,1970-10-04,,http://en.wikipedia.org/wiki/1970_United_States_Grand_Prix
1970,13,Mexican Grand Prix,Autódromo Hermanos Rodríguez,Mexico City,Mexico,1970-10-25,,http://en.wikipedia.org/wiki/1970_Mexican_Grand_Prix
1971,1,South African Grand Prix,Kyalami,Midrand,South Africa,1971-03-06,,http://en.wikipedia.org/wiki/1971_South_African_Grand_Prix
1971,2,Spanish Grand Prix,Montjuïc,Barcelona,Spain,1971-04-18,,http://en.wikipedia.org/wiki/1971_Spanish_Grand_Prix
1971,3,Monaco Grand Prix,Circuit de Monaco,Monte-Carlo,Monaco,1971-05-23,,http://en.wikipedia.org/wiki/1971_Monaco_Grand_Prix
1971,4,Dutch Grand Prix,Circuit Park Zandvoort,Zandvoort,Netherlands,1971-06-20,,http://en.wikipedia.org/wiki/1971_Dutch_Grand_Prix
1971,5,French Grand Prix,Circuit Paul Ricard,Le Castellet,France,1971-07-04,,http://en.wikipedia.org/wiki/1971_French_Grand_Prix
1971,6,British Grand Prix,Silverstone Circuit,Silverstone,UK,1971-07-17,,http://en.wikipedia.org/wiki/1971_British_Grand_Prix
1971,7,German Grand Prix,Nürburgring,Nürburg,Germany,1971-08-01,,http://en.wikipedia.org/wiki/1971_German_Grand_Prix
1971,8,Austrian Grand Prix,Red Bull Ring,Spielberg,Austria,1971-08-15,,http://en.wikipedia.org/wiki/1971_Austrian_Grand_Prix
1971,9,Italian Grand Prix,Autodromo Nazionale di Monza,Monza,Italy,1971-09-05,,http://en.wikipedia.org/wiki/1971_Italian_Grand_Prix
1971,10,Canadian Grand Prix,Mosport International Raceway,Ontario,Canada,1971-09-19,,http://en.wikipedia.org/wiki/1971_Canadian_Grand_Prix
1971,11,United States Grand Prix,Watkins Glen,New York State,USA,1971-10-03,,http://en.wikipedia.org/wiki/1971_United_States_Grand_Prix
1972,1,Argentine Grand Prix,Autódromo Juan y Oscar Gálvez,Buenos Aires,Argentina,1972-01-23,,http://en.wikipedia.org/wiki/1972_Argentine_Grand_Prix
1972,2,South African Grand Prix,Kyalami,Midrand,South Africa,1972-03-04,,http://en.wikipedia.org/wiki/1972_South_African_Grand_Prix
1972,3,Spanish Grand Prix,Jarama,Madrid,Spain,1972-05-01,,http://en.wikipedia.org/wiki/1972_Spanish_Grand_Prix
1972,4,Monaco Grand Prix,Circuit de Monaco,Monte-Carlo,Monaco,1972-05-14,,http://en.wikipedia.org/wiki/1972_Monaco_Grand_Prix
1972,5,Belgian Grand Prix,Nivelles-Baulers,Brussels,Belgium,1972-06-04,,http://en.wikipedia.org/wiki/1972_Belgian_Grand_Prix
1972,6,French Grand Prix,Charade Circuit,Clermont-Ferrand,France,1972-07-02,,http://en.wikipedia.org/wiki/1972_French_Grand_Prix
1972,7,British Grand Prix,Brands Hatch,Kent,UK,1972-07-15,,http://en.wikipedia.org/wiki/1972_British_Grand_Prix
1972,8,German Grand Prix,Nürburgring,Nürburg,Germany,1972-07-30,,http://en.wikipedia.org/wiki/1972_German_Grand_Prix
1972,9,Austrian Grand Prix,Red Bull Ring,Spielberg,Austria,1972-08-13,,http://en.wikipedia.org/wiki/1972_Austrian_Grand_Prix
1972,10,Italian Grand Prix,Autodromo Nazionale di Monza,Monza,Italy,1972-09-10,,http://en.wikipedia.org/wiki/1972_Italian_Grand_Prix
1972,11,Canadian Grand Prix,Mosport International Raceway,Ontario,Canada,1972-09-24,,http://en.wikipedia.org/wiki/1972_Canadian_Grand_Prix
1972,12,United States Grand Prix,Watkins Glen,New York State,USA,1972-10-08,,http://en.wikipedia.org/wiki/1972_United_States_Grand_Prix
1973,1,Argentine Grand Prix,Autódromo Juan y Oscar Gálvez,Buenos Aires,Argentina,1973-01-28,,http://en.wikipedia.org/wiki/1973_Argentine_Grand_Prix
1973,2,Brazilian Grand Prix,Autódromo José Carlos Pace,São Paulo,Brazil,1973-02-11,,http://en.wikipedia.org/wiki/1973_Brazilian_Grand_Prix
1973,3,South African Grand Prix,Kyalami,Midrand,South Africa,1973-03-03,,http://en.wikipedia.org/wiki/1973_South_African_Grand_Prix
1973,4,Spanish Grand Prix,Montjuïc,Barcelona,Spain,1973-04-29,,http://en.wikipedia.org/wiki/1973_Spanish_Grand_Prix
1973,5,Belgian Grand Prix,Zolder,Heusden-Zolder,Belgium,1973-05-20,,http://en.wikipedia.org/wiki/1973_Belgian_Grand_Prix
1973,6,Monaco Grand Prix,Circuit de Monaco,Monte-Carlo,Monaco,1973-06-03,,http://en.wikipedia.org/wiki/1973_Monaco_Grand_Prix
1973,7,Swedish Grand Prix,Scandinavian Raceway,Anderstorp,Sweden,1973-06-17,,http://en.wikipedia.org/wiki/1973_Swedish_Grand_Prix
1973,8,French Grand Prix,Circuit Paul Ricard,Le Castellet,France,1973-07-01,,http://en.wikipedia.org/wiki/1973_French_Grand_Prix
1973,9,British Grand Prix,Silverstone Circuit,Silverstone,UK,1973-07-14,,http://en.wikipedia.org/wiki/1973_British_Grand_Prix
1973,10,Dutch Grand Prix,Circuit Park Zandvoort,Zandvoort,Netherlands,1973-07-29,,http://en.wikipedia.org/wiki/1973_Dutch_Grand_Prix
1973,11,German Grand Prix,Nürburgring,Nürburg,Germany,1973-08-05,,http://en.wikipedia.org/wiki/1973_German_Grand_Prix
1973,12,Austrian Grand Prix,Red Bull Ring,Spielberg,Austria,1973-08-19,,http://en.wikipedia.org/wiki/1973_Austrian_Grand_Prix
1973,13,Italian Grand Prix,Autodromo Nazionale di Monza,Monza,Italy,1973-09-09,,http://en.wikipedia.org/wiki/1973_Italian_Grand_Prix
1973,14,Canadian Grand Prix,Mosport International Raceway,Ontario,Canada,1973-09-23,,http://en.wikipedia.org/wiki/1973_Canadian_Grand_Prix
1973,15,United States Grand Prix,Watkins Glen,New York State,USA,1973-10-07,,http://en.wikipedia.org/wiki/1973_United_States_Grand_Prix
1974,1,Argentine Grand Prix,Autódromo Juan y Oscar Gálvez,Buenos Aires,Argentina,1974-01-13,,http://en.wikipedia.org/wiki/1974_Argentine_Grand_Prix
1974,2,Brazilian Grand Prix,Autódromo José Carlos Pace,São Paulo,Brazil,1974-01-27,,http://en.wikipedia.org/wiki/1974_Brazilian_Grand_Prix
1974,3,South African Grand Prix,Kyalami,Midrand,South Africa,1974-03-30,,http://en.wikipedia.org/wiki/1974_South_African_Grand_Prix
1974,4,Spanish Grand Prix,Jarama,Madrid,Spain,1974-04-28,,http://en.wikipedia.org/wiki/1974_Spanish_Grand_Prix
1974,5,Belgian Grand Prix,Nivelles-Baulers,Brussels,Belgium,1974-05-12,,http://en.wikipedia.org/wiki/1974_Belgian_Grand_Prix
1974,6,Monaco Grand Prix,Circuit de Monaco,Monte-Carlo,Monaco,1974-05-26,,http://en.wikipedia.org/wiki/1974_Monaco_Grand_Prix
1974,7,Swedish Grand Prix,Scandinavian Raceway,Anderstorp,Sweden,1974-06-09,,http://en.wikipedia.org/wiki/1974_Swedish_Grand_Prix
1974,8,Dutch Grand Prix,Circuit Park Zandvoort,Zandvoort,Netherlands,1974-06-23,,http://en.wikipedia.org/wiki/1974_Dutch_Grand_Prix
1974,9,French Grand Prix,Dijon-Prenois,Dijon,France,1974-07-07,,http://en.wikipedia.org/wiki/1974_French_Grand_Prix
1974,10,British Grand Prix,Brands Hatch,Kent,UK,1974-07-20,,http://en.wikipedia.org/wiki/1974_British_Grand_Prix
1974,11,German Grand Prix,Nürburgring,Nürburg,Germany,1974-08-04,,http://en.wikipedia.org/wiki/1974_German_Grand_Prix
1974,12,Austrian Grand Prix,Red Bull Ring,Spielberg,Austria,1974-08-18,,http://en.wikipedia.org/wiki/1974_Austrian_Grand_Prix
1974,13,Italian Grand Prix,Autodromo Nazionale di Monza,Monza,Italy,1974-09-08,,http://en.wikipedia.org/wiki/1974_Italian_Grand_Prix
1974,14,Canadian Grand Prix,Mosport International Raceway,Ontario,Canada,1974-09-22,,http://en.wikipedia.org/wiki/1974_Canadian_Grand_Prix
1974,15,United States Grand Prix,Watkins Glen,New York State,USA,1974-10-06,,http://en.wikipedia.org/wiki/1974_United_States_Grand_Prix
1975,1,Argentine Grand Prix,Autódromo Juan y Oscar Gálvez,Buenos Aires,Argentina,1975-01-12,,http://en.wikipedia.org/wiki/1975_Argentine_Grand_Prix
1975,2,Brazilian Grand Prix,Autódromo José Carlos Pace,São Paulo,Brazil,1975-01-26,,http://en.wikipedia.org/wiki/1975_Brazilian_Grand_Prix
1975,3,South African Grand Prix,Kyalami,Midrand,South Africa,1975-03-01,,http://en.wikipedia.org/wiki/1975_South_African_Grand_Prix
1975,4,Spanish Grand Prix,Montjuïc,Barcelona,Spain,1975-04-27,,http://en.wikipedia.org/wiki/1975_Spanish_Grand_Prix
1975,5,Monaco Grand Prix,Circuit de Monaco,Monte-Carlo,Monaco,1975-05-11,,http://en.wikipedia.org/wiki/1975_Monaco_Grand_Prix
1975,6,Belgian Grand Prix,Zolder,Heusden-Zolder,Belgium,1975-05-25,,http://en.wikipedia.org/wiki/1975_Belgian_Grand_Prix
1975,7,Swedish Grand Prix,Scandinavian Raceway,Anderstorp,Sweden,1975-06-08,,http://en.wikipedia.org/wiki/1975_Swedish_Grand_Prix
1975,8,Dutch Grand Prix,Circuit Park Zandvoort,Zandvoort,Netherlands,1975-06-22,,http://en.wikipedia.org/wiki/1975_Dutch_Grand_Prix
1975,9,French Grand Prix,Circuit Paul Ricard,Le Castellet,France,1975-07-06,,http://en.wikipedia.org/wiki/1975_French_Grand_Prix
1975,10,British Grand Prix,Silverstone Circuit,Silverstone,UK,1975-07-19,,http://en.wikipedia.org/wiki/1975_British_Grand_Prix
1975,11,German Grand Prix,Nürburgring,Nürburg,Germany,1975-08-03,,http://en.wikipedia.org/wiki/1975_German_Grand_Prix
1975,12,Austrian Grand Prix,Red Bull Ring,Spielberg,Austria,1975-08-17,,http://en.wikipedia.org/wiki/1975_Austrian_Grand_Prix
1975,13,Italian Grand Prix,Autodromo Nazionale di Monza,Monza,Italy,1975-09-07,,http://en.wikipedia.org/wiki/1975_Italian_Grand_Prix
1975,14,United States Grand Prix,Watkins Glen,New York State,USA,1975-10-05,,http://en.wikipedia.org/wiki/1975_United_States_Grand_Prix
1976,1,Brazilian Grand Prix,Autódromo José Carlos Pace,São Paulo,Brazil,1976-01-25,,http://en.wikipedia.org/wiki/1976_Brazilian_Grand_Prix
1976,2,South African Grand Prix,Kyalami,Midrand,South Africa,1976-03-06,,http://en.wikipedia.org/wiki/1976_South_African_Grand_Prix
1976,3,United States Grand Prix West,Long Beach,California,USA,1976-03-28,,http://en.wikipedia.org/wiki/1976_United_States_Grand_Prix_West
1976,4,Spanish Grand Prix,Jarama,Madrid,Spain,1976-05-02,,http://en.wikipedia.org/wiki/1976_Spanish_Grand_Prix
1976,5,Belgian Grand Prix,Zolder,Heusden-Zolder,Belgium,1976-05-16,,http://en.wikipedia.org/wiki/1976_Belgian_Grand_Prix
1976,6,Monaco Grand Prix,Circuit de Monaco,Monte-Carlo,Monaco,1976-05-30,,http://en.wikipedia.org/wiki/1976_Monaco_Grand_Prix
1976,7,Swedish Grand Prix,Scandinavian Raceway,Anderstorp,Sweden,1976-06-13,,http://en.wikipedia.org/wiki/1976_Swedish_Grand_Prix
1976,8,French Grand Prix,Circuit Paul Ricard,Le Castellet,France,1976-07-04,,http://en.wikipedia.org/wiki/1976_French_Grand_Prix
1976,9,British Grand Prix,Brands Hatch,Kent,UK,1976-07-18,,http://en.wikipedia.org/wiki/1976_British_Grand_Prix
1976,10,German Grand Prix,Nürburgring,Nürburg,Germany,1976-08-01,,http://en.wikipedia.org/wiki/1976_German_Grand_Prix
1976,11,Austrian Grand Prix,Red Bull Ring,Spielberg,Austria,1976-08-15,,http://en.wikipedia.org/wiki/1976_Austrian_Grand_Prix
1976,12,Dutch Grand Prix,Circuit Park Zandvoort,Zandvoort,Netherlands,1976-08-29,,http://en.wikipedia.org/wiki/1976_Dutch_Grand_Prix
1976,13,Italian Grand Prix,Autodromo Nazionale di Monza,Monza,Italy,1976-09-12,,http://en.wikipedia.org/wiki/1976_Italian_Grand_Prix
1976,14,Canadian Grand Prix,Mosport International Raceway,Ontario,Canada,1976-10-03,,http://en.wikipedia.org/wiki/1976_Canadian_Grand_Prix
1976,15,United States Grand Prix,Watkins Glen,New York State,USA,1976-10-10,,http://en.wikipedia.org/wiki/1976_United_States_Grand_Prix
1976,16,Japanese Grand Prix,Fuji Speedway,Oyama,Japan,1976-10-24,,http://en.wikipedia.org/wiki/1976_Japanese_Grand_Prix
1977,1,Argentine Grand Prix,Autódromo Juan y Oscar Gálvez,Buenos Aires,Argentina,1977-01-09,,http://en.wikipedia.org/wiki/1977_Argentine_Grand_Prix
1977,2,Brazilian Grand Prix,Autódromo José Carlos Pace,São Paulo,Brazil,1977-01-23,,http://en.wikipedia.org/wiki/1977_Brazilian_Grand_Prix
1977,3,South African Grand Prix,Kyalami,Midrand,South Africa,1977-03-05,,http://en.wikipedia.org/wiki/1977_South_African_Grand_Prix
1977,4,United States Grand Prix West,Long Beach,California,USA,1977-04-03,,http://en.wikipedia.org/wiki/1977_United_States_Grand_Prix_West
1977,5,Spanish Grand Prix,Jarama,Madrid,Spain,1977-05-08,,http://en.wikipedia.org/wiki/1977_Spanish_Grand_Prix
1977,6,Monaco Grand Prix,Circuit de Monaco,Monte-Carlo,Monaco,1977-05-22,,http://en.wikipedia.org/wiki/1977_Monaco_Grand_Prix
1977,7,Belgian Grand Prix,Zolder,Heusden-Zolder,Belgium,1977-06-05,,http://en.wikipedia.org/wiki/1977_Belgian_Grand_Prix
1977,8,Swedish Grand Prix,Scandinavian Raceway,Anderstorp,Sweden,1977-06-19,,http://en.wikipedia.org/wiki/1977_Swedish_Grand_Prix
1977,9,French Grand Prix,Dijon-Prenois,Dijon,France,1977-07-03,,http://en.wikipedia.org/wiki/1977_French_Grand_Prix
1977,10,British Grand Prix,Silverstone Circuit,Silverstone,UK,1977-07-16,,http://en.wikipedia.org/wiki/1977_British_Grand_Prix
1977,11,German Grand Prix,Hockenheimring,Hockenheim,Germany,1977-07-31,,http://en.wikipedia.org/wiki/1977_German_Grand_Prix
1977,12,Austrian Grand Prix,Red Bull Ring,Spielberg,Austria,1977-08-14,,http://en.wikipedia.org/wiki/1977_Austrian_Grand_Prix
1977,13,Dutch Grand Prix,Circuit Park Zandvoort,Zandvoort,Netherlands,1977-08-28,,http://en.wikipedia.org/wiki/1977_Dutch_Grand_Prix
1977,14,Italian Grand Prix,Autodromo Nazionale di Monza,Monza,Italy,1977-09-11,,http://en.wikipedia.org/wiki/1977_Italian_Grand_Prix
1977,15,United States Grand Prix,Watkins Glen,New York State,USA,1977-10-02,,http://en.wikipedia.org/wiki/1977_United_States_Grand_Prix
1977,16,Canadian Grand Prix,Mosport International Raceway,Ontario,Canada,1977-10-09,,http://en.wikipedia.org/wiki/1977_Canadian_Grand_Prix
1977,17,Japanese Grand Prix,Fuji Speedway,Oyama,Japan,1977-10-23,,http://en.wikipedia.org/wiki/1977_Japanese_Grand_Prix
1978,1,Argentine Grand Prix,Autódromo Juan y Oscar Gálvez,Buenos Aires,Argentina,1978-01-15,,http://en.wikipedia.org/wiki/1978_Argentine_Grand_Prix
1978,2,Brazilian Grand Prix,Autódromo Internacional Nelson Piquet,Rio de Janeiro,Brazil,1978-01-29,,http://en.wikipedia.org/wiki/1978_Brazilian_Grand_Prix
1978,3,South African Grand Prix,Kyalami,Midrand,South Africa,1978-03-04,,http://en.wikipedia.org/wiki/1978_South_African_Grand_Prix
1978,4,United States Grand Prix West,Long Beach,California,USA,1978-04-02,,http://en.wikipedia.org/wiki/1978_United_States_Grand_Prix_West
1978,5,Monaco Grand Prix,Circuit de Monaco,Monte-Carlo,Monaco,1978-05-07,,http://en.wikipedia.org/wiki/1978_Monaco_Grand_Prix
1978,6,Belgian Grand Prix,Zolder,Heusden-Zolder,Belgium,1978-05-21,,http://en.wikipedia.org/wiki/1978_Belgian_Grand_Prix
1978,7,Spanish Grand Prix,Jarama,Madrid,Spain,1978-06-04,,http://en.wikipedia.org/wiki/1978_Spanish_Grand_Prix
1978,8,Swedish Grand Prix,Scandinavian Raceway,Anderstorp,Sweden,1978-06-17,,http://en.wikipedia.org/wiki/1978_Swedish_Grand_Prix
1978,9,French Grand Prix,Circuit Paul Ricard,Le Castellet,France,1978-07-02,,http://en.wikipedia.org/wiki/1978_French_Grand_Prix
1978,10,British Grand Prix,Brands Hatch,Kent,UK,1978-07-16,,http://en.wikipedia.org/wiki/1978_British_Grand_Prix
1978,11,German Grand Prix,Hockenheimring,Hockenheim,Germany,1978-07-30,,http://en.wikipedia.org/wiki/1978_German_Grand_Prix
1978,12,Austrian Grand Prix,Red Bull Ring,Spielberg,Austria,1978-08-13,,http://en.wikipedia.org/wiki/1978_Austrian_Grand_Prix
1978,13,Dutch Grand Prix,Circuit Park Zandvoort,Zandvoort,Netherlands,1978-08-27,,http://en.wikipedia.org/wiki/1978_Dutch_Grand_Prix
1978,14,Italian Grand Prix,Autodromo Nazionale di Monza,Monza,Italy,1978-09-10,,http://en.wikipedia.org/wiki/1978_Italian_Grand_Prix
1978,15,United States Grand Prix,Watkins Glen,New York State,USA,1978-10-01,,http://en.wikipedia.org/wiki/1978_United_States_Grand_Prix
1978,16,Canadian Grand Prix,Circuit Gilles Villeneuve,Montreal,Canada,1978-10-08,,http://en.wikipedia.org/wiki/1978_Canadian_Grand_Prix
1979,1,Argentine Grand Prix,Autódromo Juan y Oscar Gálvez,Buenos Aires,Argentina,1979-01-21,,http://en.wikipedia.org/wiki/1979_Argentine_Grand_Prix
1979,2,Brazilian Grand Prix,Autódromo José Carlos Pace,São Paulo,Brazil,1979-02-04,,http://en.wikipedia.org/wiki/1979_Brazilian_Grand_Prix
1979,3,South African Grand Prix,Kyalami,Midrand,South Africa,1979-03-03,,http://en.wikipedia.org/wiki/1979_South_African_Grand_Prix
1979,4,United States Grand Prix West,Long Beach,California,USA,1979-04-08,,http://en.wikipedia.org/wiki/1979_United_States_Grand_Prix_West
1979,5,Spanish Grand Prix,Jarama,Madrid,Spain,1979-04-29,,http://en.wikipedia.org/wiki/1979_Spanish_Grand_Prix
1979,6,Belgian Grand Prix,Zolder,Heusden-Zolder,Belgium,1979-05-13,,http://en.wikipedia.org/wiki/1979_Belgian_Grand_Prix
1979,7,Monaco Grand Prix,Circuit de Monaco,Monte-Carlo,Monaco,1979-05-27,,http://en.wikipedia.org/wiki/1979_Monaco_Grand_Prix
1979,8,French Grand Prix,Dijon-Prenois,Dijon,France,1979-07-01,,http://en.wikipedia.org/wiki/1979_French_Grand_Prix
1979,9,British Grand Prix,Silverstone Circuit,Silverstone,UK,1979-07-14,,http://en.wikipedia.org/wiki/1979_British_Grand_Prix
1979,10,German Grand Prix,Hockenheimring,Hockenheim,Germany,1979-07-29,,http://en.wikipedia.org/wiki/1979_German_Grand_Prix
1979,11,Austrian Grand Prix,Red Bull Ring,Spielberg,Austria,1979-08-12,,http://en.wikipedia.org/wiki/1979_Austrian_Grand_Prix
1979,12,Dutch Grand Prix,Circuit Park Zandvoort,Zandvoort,Netherlands,1979-08-26,,http://en.wikipedia.org/wiki/1979_Dutch_Grand_Prix
1979,13,Italian Grand Prix,Autodromo Nazionale di Monza,Monza,Italy,1979-09-09,,http://en.wikipedia.org/wiki/1979_Italian_Grand_Prix
1979,14,Canadian Grand Prix,Circuit Gilles Villeneuve,Montreal,Canada,1979-09-30,,http://en.wikipedia.org/wiki/1979_Canadian_Grand_Prix
1979,15,United States Grand Prix,Watkins Glen,New York State,USA,1979-10-07,,http://en.wikipedia.org/wiki/1979_United_States_Grand_Prix
